experience/0/company,experience/1/company,experience/2/company,experience/3/company,experience/4/company,experience/0/date_range,experience/1/date_range,experience/2/date_range,experience/3/date_range,experience/4/date_range,experience/0/name,experience/1/name,experience/2/name,experience/3/name,experience/4/name,education/0,education/1,education/2,position
ctbc securities,bluemall,"eland information. co., ltd.",none,none,"Dates Employed
Jul 2017 – Feb 2020","Dates Employed
Mar 2017 – Jul 2017","Dates Employed
Oct 2016 – Jan 2017",,,"machine,learning,engineer,data,scientist","market,research,analyst","market,analyst",none,none,national sun yat-sen university,none,none,"machine,learning,engineer,data,scientist,at,ctbc,securities"
none,none,none,none,none,,,,,,none,none,none,none,none,national chiao tung university,national tsinghua university,none,"tsmc,machine,learning,engineer"
zhongqiang optoelectronics,sage,lioho machine works,none,none,"Dates Employed
Aug 2018 – Present","Dates Employed
May 2018 – Jul 2018","Dates Employed
Sep 2014 – Jun 2015",,,"data,analyst","technical,consultant,data,analyst","tps,project,engineer",none,none,national taiwan university,information council,none,"python,machine,learning,and,deep,learning,programming,data,mining,and,analysis"
"institute of information science, academia sinica",national taiwan university,wisers information limited,uni-survey link research,toastmasters international,"Dates Employed
Jul 2019 – Present","Dates Employed
Dec 2018 – Mar 2019","Dates Employed
Jul 2018 – Aug 2018","Dates Employed
Jul 2016 – Aug 2016","Dates Employed
Sep 2015 – Jun 2016","graduate,research,assistant","artificial,intelligence,ai,related,report,writer","ai,lab,research,intern","data,analysis,intern","vice,presidenteducation,in,cheng,kung,toastmasters,clubdistict,67area,k2",national taiwan university,national cheng kung university,none,"a,ntu,m,s,student,with,passion,and,hands,on,experience,in,data,science,machine,learning,and,statistics"
"mgr consulting co., ltd.","himax technologies, corp.",silicon integrated systems.,none,none,"Dates Employed
Jan 2018 – Present","Dates Employed
May 2004 – Dec 2017","Dates Employed
Jun 1995 – May 2004",,,consultant,director,"senior,manager",none,none,national tsinghua university,national cheng kung university,national cheng kung university,"ai,machine,learning,team,build,up,3d,sensing,ml,chip,architecture,tensorflow,opencl,cuda,chief,consultant"
kaikutek inc.,none,none,none,none,"Dates Employed
Dec 2017 – Present",,,,,"ai,machine,learning,developer",none,none,none,none,national chiao tung university,san diego state university,none,"deep,learning,engineer"
yahoo,mediatek,none,none,none,"Dates Employed
Jul 2015 – Apr 2016","Dates Employed
Jul 2014 – Sep 2014",,,,"science,intern","it,specialist,intern",none,none,none,national taiwan university,peking university,national taiwan university,"senior,scientist,at,appier"
none,none,none,none,none,,,,,,none,none,none,none,none,none,none,none,"machine,learning,engineer,natural,language,processing,nlp,msc,computational,linguistics,usaarland"
tsmc,none,none,none,none,"Dates Employed
Mar 2015 – Present",,,,,"machine,learningsoftware,engineer,at,tsmc",none,none,none,none,national chengchi university,national tsinghua university,none,"tsm,machine,learning,software,engineer,at,tsmc"
asus,innolux innolux,"asustek computer co., ltd.",華寶通訊,none,"Dates Employed
Feb 2016 – Present","Dates Employed
Oct 2013 – Feb 2016","Dates Employed
Feb 2013 – Sep 2013","Dates Employed
Sep 2011 – Dec 2012",,specialist,"senior,software,engineer","senior,software,engineer","software,engineer",none,national kaohsiung university of applied sciences,none,none,"ai,machine,learning,and,cloud,software,specialist"
ibm,ibm,intel corporation,none,none,"Dates Employed
Aug 2019 – Present","Dates Employed
Jul 2018 – Dec 2018","Dates Employed
Oct 2016 – Mar 2018",,,"software,engineer","software,engineering,intern",intern,none,none,national taiwan university,national tsing hua university,none,"computer,science,graduate,student,with,machine,learning,expertise"
draco capital partners,folder,national taiwan university,none,none,"Dates Employed
Nov 2017 – Jul 2018","Dates Employed
Jan 2017 – Sep 2017","Dates Employed
Sep 2016 – Jan 2017",,,"machine,learning,engineer","phd,student","research,assistant",none,none,national taiwan university,national chiao tung university,none,"draco,capital,management,machine,learning,engineer"
industrial technology research institute,none,none,none,none,"Dates Employed
Jul 2017 – Mar 2019",,,,,"deep,learning,researcher",none,none,none,none,national taiwan university of science and technology,national chung cheng university,none,"deep,learning,researcher"
mediatek,none,none,none,none,"Dates Employed
Jul 2019 – Aug 2019",,,,,"summer,internship",none,none,none,none,national cheng kung university,none,none,"software,engineer,machine,learning,experienced,with,python,c,and,java"
none,none,none,none,none,,,,,,none,none,none,none,none,national taiwan university,national central university,none,"algorithm,engineer"
national dong hwa university,national tsing hua university,groundhog technologies inc.,none,none,"Dates Employed
Feb 2017 – Present","Dates Employed
Sep 2011 – Dec 2012","Dates Employed
Dec 2002 – Apr 2004",,,"postdoctoral,research,fellow","postdoctoral,fellow","intern,researcher",none,none,national tsing hua university,national taiwan university,national tsing hua university,"v,backend,v,deep,learning,v,devops,v,frontend,ok,if,you,really,need,it"
"huazhi information development co., ltd. infofab, inc.",h2 inc.,self employed,national museum of marine science and technology,wildmind corporation,"Dates Employed
Feb 2016 – Present","Dates Employed
Nov 2014 – Feb 2016","Dates Employed
Dec 2013 – Nov 2014","Dates Employed
Jan 2012 – Dec 2013","Dates Employed
Sep 2011 – Jan 2012","machine,learning,engineer","software,engineer","full,stack,developer","underwater,cinematographer","software,engineer",national taiwan university,national taiwan university,taipei municipal jiang uo highschool,"machine,learning,engineer"
dell,academia sinica,industrial technology research institute,none,none,"Dates Employed
Apr 2020 – Present","Dates Employed
Jul 2019 – Oct 2019","Dates Employed
Jul 2018 – Dec 2018",,,"machine,learning,and,data,analytics,intern","research,intern","research,intern",none,none,national taiwan university,national chiao tung university,none,"dell,inc,machine,learning,and,data,analytics,intern"
soho,"mis family technology, inc.",none,none,none,"Dates Employed
Aug 2008 – Present","Dates Employed
Jun 2000 – Oct 2009",,,,"soho,engineer",cto,none,none,none,national yunlin university of science and technology,evergreen university,longhua university of science and technology,"bigdata,big,data,analysis,engineer,machine,learning,modeling"
none,none,none,none,none,,,,,,none,none,none,none,none,none,none,none,"graduate,student,at,national,chiao,tung,university,and,looking,for,a,data,scientist,machine,learning,engineer,position"
goldrock inc.,cmvs corp.,cts digital corp.,wu shen wu digital & creative inc.,dreamer's media,"Dates Employed
Feb 2006 – Jun 2016","Dates Employed
Oct 2003 – Jan 2006","Dates Employed
Oct 2002 – Jun 2003","Dates Employed
Nov 1999 – Sep 2002","Dates Employed
Oct 1998 – Oct 1999","founder,ceo","technical,director,coo","product,manager","founder,cto","web,programmer",udacity,national cheng kung university,none,"startup,founder,app,developer,machine,learning,engineer"
national taipei university of technology,none,none,none,none,"Dates Employed
Sep 2015 – Present",,,,,"research,assistant",none,none,none,none,national taipei university of technology,karlsruhe university of applied sciences,national taipei university of technology,"machine,learning,spectrum,signal,processing,biomedical,signal,processing,digital,image,processing"
innolux innolux,mirle automation corp,none,none,none,"Dates Employed
Jan 2018 – Present","Dates Employed
Mar 2011 – Mar 2017",,,,"machine,learning,engineer","senior,software,engineer",none,none,none,udacity,udacity,nanhua university,"innolux,machine,learning,engineer"
none,none,none,none,none,,,,,,none,none,none,none,none,none,none,none,"deep,learning,machine,translation,chatbot,unity3d,c,c,java,python"
solomon ai and 3d vision,none,none,none,none,"Dates Employed
Dec 2019 – Present",,,,,"artificial,intelligence,engineer",none,none,none,none,university of london-royal halloway college,tamkang university,none,"graduated,from,rhul,machine,learning"
national taiwan university of science and technology,pusilkom onion,national institute of aeronautics and space,none,none,"Dates Employed
Aug 2018 – Present","Dates Employed
May 2017 – Aug 2017","Dates Employed
Dec 2016 – Feb 2017",,,"graduate,student,researcher","team,developer,intern","research,and,development,intern",none,none,national taiwan university of science and technology,university of indonesia,none,"actively,seeking,for,position,in,machine,learning,engineer,2,years,experience,in,computer,vision,algorithm,developments,experienced,in,pytorch,and,tensorflow,tensorflow,developer,certification"
sysjust inc,oath,panasonic,阿縵有限公司amann,none,"Dates Employed
Apr 2020 – Present","Dates Employed
Jul 2018 – Aug 2018","Dates Employed
Jul 2016 – Aug 2016","Dates Employed
Jul 2015 – Aug 2015",,"machine,learning,engineer","summer,intern","summer,intern","summer,intern",none,nc ku,國立臺北科技大學,none,"machine,learning,engineer"
hanma technology,yitong solar,moody,none,none,"Dates Employed
Jan 2019 – Present","Dates Employed
Dec 2016 – Dec 2018","Dates Employed
Dec 2015 – Jul 2016",,,"machine,learning,engineer","process,integration,engineer","industrial,engineer",none,none,national cheng kung university,none,none,"machine,learning,engineer"
new era ai robotics inc.,none,none,none,none,"Dates Employed
Apr 2018 – Feb 2020",,,,,"ml,engineer",none,none,none,none,national taipei university of technology,national taipei university of technology,none,"machine,learning,engineer"
digwise,computational intelligence technology center,national chiao tung university,none,none,"Dates Employed
Dec 2018 – Feb 2020","Dates Employed
Jun 2017 – Sep 2017","Dates Employed
Sep 2015 – Jun 2017",,,"senior,machine,learning,engineer","machine,learning,research,and,development,engineer","graduate,research,and,teaching,assistant",none,none,national chiao tung university,national chiao tung university,none,"machine,learning,engineer"
national taiwan university,ministry of science and technology,national chengchi university,none,none,"Dates Employed
Jun 2016 – Present","Dates Employed
Jul 2015 – Feb 2016","Dates Employed
Feb 2015 – Feb 2016",,,"research,assistant","college,student,research,project","research,assistant",none,none,national taiwan university,national chengchi university,taipei first girls high school taipei first girls high school,"graduate,student,from,machine,learning,group,in,national,taiwan,university"
bose corporation,fx palo alto laboratory,i understand technology,中央研究院,none,"Dates Employed
Jun 2020 – Present","Dates Employed
May 2019 – Aug 2019","Dates Employed
Dec 2017 – Jun 2018","Dates Employed
Mar 2016 – Dec 2017",,"machine,learning,and,neural,signal,processing,intern","research,intern","ai,and,dsp,engineer","research,assistant",none,"university of california, merced",national chiao tung university,none,"machine,learning,and,neural,signal,processing,intern"
relax,none,none,none,none,"Dates Employed
Apr 2018 – Present",,,,,"software,engineer",none,none,none,none,national taiwan university,national taiwan university,none,"machine,learning,voice,signal,processing,engineer"
j ia t鞥technology,acts,wistron its corp.,hewlett packard enterprise,teradata,"Dates Employed
Jan 2014 – Present","Dates Employed
Jan 2013 – Jan 2014","Dates Employed
Oct 2010 – Dec 2012","Dates Employed
Jul 2007 – Jul 2010","Dates Employed
May 1998 – Feb 2003","vp,head,of,solution,engineering,and,sales,support","director,of,technology,solutions","senior,project,manager","project,manager","project,manager",the george washington university,national kaohsiung institute of technology,none,"taiwan,ai,academy,experienced,data,analytics,machine,learning,ai,lead"
digwise,national cheng kung university,none,none,none,"Dates Employed
Sep 2018 – Feb 2020","Dates Employed
Sep 2016 – Jan 2017",,,,"senior,machine,learning,research,and,development,engineer","teaching,assistant",none,none,none,national cheng kung university,national cheng kung university,none,"machine,learning,research,and,development,engineer"
google,google,none,none,none,"Dates Employed
Apr 2020 – Present","Dates Employed
Jul 2015 – Sep 2015",,,,"software,engineer","software,engineer,intern",none,none,none,national taiwan university,national taiwan university,none,"a,software,engineer,machine,learning,enthusiast"
logitech,none,none,none,none,"Dates Employed
Mar 2020 – Jun 2020",,,,,"machine,learning,software,intern",none,none,none,none,national chiao tung university,none,none,"logitech,machine,learning,software,intern"
"academia sinica, taiwan",university of malaya,none,none,none,"Dates Employed
Aug 2017 – Present","Dates Employed
2007 – 2008",,,,"postdoctoral,research,fellow","research,assistant",none,none,none,national yang ming university,university of malaya,none,"molecular,cancer,research,statistical,analysis,machine,learning,transcriptomics"
avalanche computing,none,none,none,none,"Dates Employed
Nov 2018 – Present",,,,,"machine,learning,engineer",none,none,none,none,national taiwan university,national taiwan university,none,"machine,learning,engineer"
none,none,none,none,none,,,,,,none,none,none,none,none,none,none,none,"machine,learning,engineer"
trend micro,national taiwan university,taipei veterans general hospital,none,none,"Dates Employed
Sep 2017 – Present","Dates Employed
Sep 2016 – Jun 2017","Dates Employed
Jun 2015 – Jan 2016",,,"machine,learning,engineer","teaching,assistant","radiologist,intern",none,none,national taiwan university,national yang-ming university,none,"graduate,student,at,national,taiwan,university,bioinformatician"
none,none,none,none,none,,,,,,none,none,none,none,none,none,none,none,"machine,learning,engineer,data,analytics,software,engineer"
rakuten intelligence,trend micro,none,none,none,"Dates Employed
Sep 2017 – Present","Dates Employed
Sep 2013 – Feb 2014",,,,"machine,learning,engineer,contractor","research,and,development,intern",none,none,none,national chiao tung university,national chengchi university,none,"machine,learning,engineer,contractor,at,rakuten,intelligence"
taipei medical university,none,none,none,none,"Dates Employed
Jun 2017 – Present",,,,,"software,engineer,international,center,for,health,information,technology,ichit",none,none,none,none,taipei medical university,臺北醫學大學,soochow university,"phd,student,researcher,in,machine,learning,artificial,intelligence"
yale school of management,dr. advice technology corporation limited,tutorabc,fu jen catholic university,national cheng kung university,"Dates Employed
Sep 2019 – Present","Dates Employed
Apr 2019 – Jul 2019","Dates Employed
Nov 2016 – Jun 2019","Dates Employed
Mar 2019 – May 2019","Dates Employed
Mar 2018 – Feb 2019","research,assistant","data,analyst,intern","demo,consultant","research,assistant","research,assistant",yale school of public health,fu jen catholic university,none,"health,informatics,yale,data,science,data,analyst,machine,learning,healthcare,tech,business,ono"
shopee,kronos research,none,none,none,"Dates Employed
Mar 2020 – Present","Dates Employed
May 2019 – Mar 2020",,,,"software,engineer,machine,learning","quantitative,developer,infrastructure,developer",none,none,none,national taiwan university,none,none,"shopee,software,engineer,machine,learning"
zhongqiang optoelectronics,geovision,asus,友達光電,none,"Dates Employed
Nov 2017 – Present","Dates Employed
Oct 2016 – May 2017","Dates Employed
Apr 2013 – May 2016","Dates Employed
Aug 2010 – Apr 2013",,"machine,learning,researcher","software,engineer,in,computer,vision","hardware,engineer,in,electrical,engineering","optical,engineer",none,national tsing hua university,國立中正大學,institute for information industry,"machine,learning,researcher,software,engineer"
receive ai center,wnjsoft,none,none,none,"Dates Employed
Dec 2019 – Present","Dates Employed
Aug 2016 – Dec 2019",,,,"machine,learning,engineer","software,engineer",none,none,none,national taiwan university,東海大學,none,"machine,learning,engineer,at,thu,ai,center"
"youce information co., ltd.","li qing technology co., ltd.",none,none,none,"Dates Employed
Sep 2019 – Present","Dates Employed
Sep 2018 – Jul 2019",,,,"machine,learning,engineer","deep,learning,rd,engineer",none,none,none,national chung hsing university,none,none,"youce,information,co,ltd,machine,learning,engineer"
tsmc,台達電子,macronix contract,友達光電,none,"Dates Employed
Feb 2019 – Present","Dates Employed
Jul 2018 – Jan 2019","Dates Employed
Nov 2016 – Sep 2017","Dates Employed
Jul 2016 – Aug 2016",,"tsmc,machine,learning,scientist","delta,drc,ai,analytics,and,optimization,scientist","machine,learning,engineer","data,scientist",none,national tsing hua university,national chiao tung university,none,"tsmc,machine,learning,scientist"
oneplus,none,none,none,none,"Dates Employed
Aug 2018 – Present",,,,,"artificial,intelligence,researcher",none,none,none,none,national chiao tung university,national cheng kung university,none,"machine,learning,researcher"
none,none,none,none,none,,,,,,none,none,none,none,none,national taiwan university,national taiwan university,none,"machine,learning,vlsi,system,postdoc,researcher"
industrial technology research institute (itri) (industrial technology research institute (itri)),"industrial technology research institute (itri)(工業技術研究院, 工研院)",national chengchi university,none,none,"Dates Employed
Nov 2014 – Present","Dates Employed
Sep 2012 – Sep 2014","Dates Employed
Sep 2009 – Aug 2010",,,engineer,intern,"school,club,teacher",none,none,national chiao tung university,national chengchi university,none,"machine,learning,engineer,at,itri"
sercomm,none,none,none,none,"Dates Employed
Jun 2015 – Apr 2018",,,,,"research,and,development,engineer",none,none,none,none,national cheng kung university,逢甲大學,none,"machine,learning,researcher"
isis information,一一數位,chinatrust commercial bank,none,none,"Dates Employed
Dec 2018 – Present","Dates Employed
Apr 2018 – Sep 2018","Dates Employed
Mar 2017 – Mar 2018",,,"data,scientist","founding,employees","financial,researcher",none,none,national taiwan university,national chengchi university,none,"data,scientist,data,analysis,python,machine,learning,tableau,sql"
united microelectronics,umc,boiton,none,none,"Dates Employed
Aug 2017 – Present","Dates Employed
Sep 2015 – Present","Dates Employed
Mar 2014 – Sep 2014",,,"machine,learning,software,engineer","data,integration,engineer",internship,none,none,national chiao tung university,national chung cheng university,none,"lianhua,electronics,machine,learning,software,engineer"
"powerchip technology co., ltd.",none,none,none,none,"Dates Employed
Nov 2016 – Mar 2017",,,,,"huang,guang,production,line,director",none,none,none,none,national chiao tung university,national tsinghua university,none,"data,mining,machine,learning,deep,learning"
tsmc,none,none,none,none,"Dates Employed
Oct 2014 – Present",,,,,"machine,learning,engineer",none,none,none,none,national taiwan university,national taiwan normal university,none,"data,analytics,engineer,deep,learning,computer,vision,at,tsmc"
vivotek,wistron,none,none,none,"Dates Employed
Oct 2018 – Present","Dates Employed
Mar 2015 – Oct 2018",,,,rd,"senior,software,engineer",none,none,none,none,none,none,"machine,learning,engineer"
taiwan ai academy,none,none,none,none,"Dates Employed
Oct 2018 – Jan 2019",,,,,"trainee,of,technical,leader",none,none,none,none,national central university,none,none,"ctci,advanced,systems,inc,ai,team,data,machine,learning,engineer"
digital domain,gallopwave,linker networks inc.,asus,none,"Dates Employed
Jul 2019 – Present","Dates Employed
Nov 2018 – Jun 2019","Dates Employed
Sep 2017 – Oct 2018","Dates Employed
Jun 2013 – Aug 2014",,"senior,machine,learning,scientist","data,scientist","data,scientist","software,rd,engineer",none,national taiwan normal university,national taiwan normal university,none,"senior,machine,learning,scientist,at,digital,domain"
cathay united bank,national sun yat-sen university,edora park - a community department store in taipei,none,none,"Dates Employed
Sep 2017 – Present","Dates Employed
Mar 2016 – Jun 2017","Dates Employed
Aug 2013 – Nov 2014",,,"data,analyst","research,assistant","customer,marketing,specialist",none,none,national sun yat-sen university,national chung hsing university,none,"data,analyst,machine,learning,doer,at,digital,data,technology,center,from,cathay,united,bank"
oneplus,leopard mobile (partner with cheetah mobile),tsmc,georgia institute of technology,upmc,"Dates Employed
Aug 2018 – Present","Dates Employed
Sep 2015 – Apr 2018","Dates Employed
Jul 2014 – Sep 2015","Dates Employed
Jun 2013 – Aug 2013","Dates Employed
Jan 2013 – Apr 2013","senior,data,analyst,data,scientist","data,scientist","data,scientist","intern,researcher","student,consultant",university of pittsburgh,national tsing hua university,none,"data,scientist,machine,learning,ai"
line corp,digital river,cheetah mobile,"qnap systems, inc.",open source community,"Dates Employed
May 2018 – Present","Dates Employed
Sep 2016 – Apr 2018","Dates Employed
Jan 2016 – Aug 2016","Dates Employed
Jan 2014 – Dec 2015","Dates Employed
Jan 2014 – Jan 2015","software,engineer","principal,software,engineer,backend","software,developer,backend","team,lead,software,developer,backend","open,source,contributor",yuan-ze university,national kaohsiung normal university,none,"software,engineer,lead,big,data,machine,learning"
binflux inc,hotaicyber connection,compal,"council of agriculture, executive yuan, r.o,c,(taiwan)",中華經濟研究院 / chung-hua institution for economic research,"Dates Employed
Sep 2018 – Present","Dates Employed
May 2018 – Sep 2018","Dates Employed
Aug 2017 – Feb 2018","Dates Employed
Jul 2016 – Jul 2017","Dates Employed
Jul 2015 – Sep 2015","machine,learning,engineer","data,modelling,analyst","data,engineer","alternative,military,service",assistant,national tsinghua university,national chengchi university,none,"machine,learning,engineer,binflux,inc"
trend micro,財團法人資訊工業策進會,none,none,none,"Dates Employed
Feb 2017 – Present","Dates Employed
Nov 2013 – Jan 2017",,,,"senior,engineer",engineer,none,none,none,national taiwan university of science and technology,national taiwan university of science and technology,national central university,"senior,engineer,machine,learning,engineer,in,trend,micro"
new york university,asia pacific machine intelligence company,academia sinica,national tsing hua university,none,"Dates Employed
Feb 2020 – May 2020","Dates Employed
Jul 2019 – Dec 2019","Dates Employed
Jul 2017 – Aug 2018","Dates Employed
Jan 2017 – Jun 2017",,"teaching,assistant","machine,learning,deep,learning,intern","research,assistant","research,assistant",none,new york university,national tsing-hua university,none,"looking,for,swe,machine,learning,computer,vision,engineer,full,time,position,starting,in,june,2020"
industrial technology research institute (itri) (industrial technology research institute (itri)),none,none,none,none,"Dates Employed
May 2016 – Present",,,,,"robotics,engineer",none,none,none,none,national taiwan university,national chung hsin university,none,"machine,learning,engineer,robotics,engineer"
rakuten intelligence contract,tsmc,industrial technology research institute (itri) (industrial technology research institute (itri)),none,none,"Dates Employed
Sep 2017 – Present","Dates Employed
Jul 2018 – Aug 2018","Dates Employed
Jun 2015 – May 2018",,,"machine,learning,engineer","summer,engineering,intern","software,engineer",none,none,national chiao tung university,national chiao tung university,none,"machine,learning,engineer,contractor,at,rakuten,intelligence"
"fit-foxconn interconnect technology, ltd",compal,none,none,none,"Dates Employed
Jul 2018 – May 2019","Dates Employed
Jun 2016 – Nov 2016",,,,"machine,learning,engineer,data,engineer","bios,engineer",none,none,none,national taiwan university of science and technology,none,none,"former,machine,learning,data,engineer,in,foxconn"
apple,national taiwan university,academia sinica,none,none,"Dates Employed
Jul 2020 – Present","Dates Employed
Sep 2018 – Present","Dates Employed
Sep 2017 – Jan 2018",,,"machine,learning,intern","masters,student","research,assistant",none,none,national taiwan university,國立臺灣大學,university of technology of troyes,"machine,learning,intern,at,apple"
